district,post_office,postal_code,post_office_type,Country
Achham,Achham,10700,D.P.O.,Nepal
Achham,Chaurpati,10701,A.P.O.,Nepal
Achham,Srikot,10702,A.P.O.,Nepal
Achham,Thanti,10703,A.P.O.,Nepal
Achham,Mellekh,10704,A.P.O.,Nepal
Achham,Bayalpata,10705,A.P.O.,Nepal
Achham,Bhatakatiya,10706,A.P.O.,Nepal
Achham,Jayagadh,10707,A.P.O.,Nepal
Achham,Kalagaun,10709,A.P.O.,Nepal
Achham,Kuchikot,10710,A.P.O.,Nepal
Achham,Kamal bazar,10711,A.P.O.,Nepal
Achham,Dhakari,10712,A.P.O.,Nepal
Achham,Turmakhad,10713,A.P.O.,Nepal
Arghakhanchi,Arghakhanchi,32700,D.P.O.,Nepal
Arghakhanchi,Balkot,32701,A.P.O.,Nepal
Arghakhanchi,Arghatosh,32702,A.P.O.,Nepal
Arghakhanchi,Khana,32703,A.P.O.,Nepal
Arghakhanchi,Wangla,32704,A.P.O.,Nepal
Arghakhanchi,Hamshapur,32705,A.P.O.,Nepal
Arghakhanchi,Thada,32706,A.P.O.,Nepal
Arghakhanchi,Khilji,32708,A.P.O.,Nepal
Arghakhanchi,Khidim,32709,A.P.O.,Nepal
Arghakhanchi,Pali,32710,A.P.O.,Nepal
Arghakhanchi,Dhikura,32711,A.P.O.,Nepal
Arghakhanchi,Argha,32712,A.P.O.,Nepal
Arghakhanchi,Subarnakhal,32713,A.P.O.,Nepal
Baglung,Baglung,33300,D.P.O.,Nepal
Baglung,Pala,33302,A.P.O.,Nepal
Baglung,Bihukot,33303,A.P.O.,Nepal
Baglung,Harichaur,33304,A.P.O.,Nepal
Baglung,Balewa Payupata,33305,A.P.O.,Nepal
Baglung,Jaidi Belbagar,33306,A.P.O.,Nepal
Baglung,Bereng,33307,A.P.O.,Nepal
Baglung,Galkot,33308,A.P.O.,Nepal
Baglung,Pandavkhani,33309,A.P.O.,Nepal
Baglung,Arnakot,33310,A.P.O.,Nepal
Baglung,Khrwang,33311,A.P.O.,Nepal
Baglung,Bongadovan,33312,A.P.O.,Nepal
Baglung,Jhimpa,33313,A.P.O.,Nepal
Baglung,Kusmi Shera,33314,A.P.O.,Nepal
Baitadi,Baitadi,10200,D.P.O.,Nepal
Baitadi,Kesharpur,10201,A.P.O.,Nepal
Baitadi,Patan,10202,A.P.O.,Nepal
Baitadi,Khodpe,10203,A.P.O.,Nepal
Baitadi,Mulkhatali,10204,A.P.O.,Nepal
Baitadi,Gajari Changgad,10205,A.P.O.,Nepal
Baitadi,Dehimandau,10207,A.P.O.,Nepal
Baitadi,Sharmali,10209,A.P.O.,Nepal
Baitadi,Srikot,10210,A.P.O.,Nepal
Baitadi,Dilasaini,10211,A.P.O.,Nepal
Baitadi,Swopana Taladehi,10212,A.P.O.,Nepal
Baitadi,Purchaudihat,10213,A.P.O.,Nepal
Baitadi,Sitad,10214,A.P.O.,Nepal
Baitadi,Dhungad,10215,A.P.O.,Nepal
Bajhang,Bajhang,10500,D.P.O.,Nepal
Bajhang,Talkot,10501,A.P.O.,Nepal
Bajhang,Jamatola,10502,A.P.O.,Nepal
Bajhang,Jaya Prithivi Nagar,10505,A.P.O.,Nepal
Bajhang,Chhanna,10506,A.P.O.,Nepal
Bajhang,Chaudhari,10507,A.P.O.,Nepal
Bajhang,Rayal,10508,A.P.O.,Nepal
Bajhang,Thalara,10509,A.P.O.,Nepal
Bajhang,Bungal,10510,A.P.O.,Nepal
Bajhang,Shayadi,10511,A.P.O.,Nepal
Bajura,Bajura,10600,D.P.O.,Nepal
Bajura,Dandakot,10602,A.P.O.,Nepal
Bajura,Jukot,10603,A.P.O.,Nepal
Bajura,Faiti,10604,A.P.O.,Nepal
Bajura,Kolti,10605,A.P.O.,Nepal
Bajura,Manakot,10606,A.P.O.,Nepal
Bajura,Dogadi,10607,A.P.O.,Nepal
Bajura,Tate,10608,A.P.O.,Nepal
Bajura,Chhatara,10609,A.P.O.,Nepal
Banke,Banke,21900,D.P.O.,Nepal
Banke,Suiya,21901,A.P.O.,Nepal
Banke,Bhojbhagawanpur,21902,A.P.O.,Nepal
Banke,Khaskusma,21903,A.P.O.,Nepal
Banke,Kohalapur,21904,A.P.O.,Nepal
Banke,Ramjha,21905,A.P.O.,Nepal
Banke,Udayapur,21907,A.P.O.,Nepal
Banke,Chisapani,21910,A.P.O.,Nepal
Banke,Godahana,21911,A.P.O.,Nepal
